Name,Smiles
NCT00050726,not found
NCT00054444,not found
NCT00058071,C(CN)CNCCSP(=O)(O)O.O.O.O
NCT00051116,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
NCT00059735,C1=CC2=C(C(=C1)NS(=O)(=O)C3=CC=C(C=C3)S(=O)(=O)N)NC=C2Cl
NCT00051142,CC(C)OC(=O)CCCC=CCC1C(CC(C1C=CC(COC2=CC=CC(=C2)C(F)(F)F)O)O)O
NCT00053560,not found
NCT00058929,"CCCCCC(CCC1C(CC2C1CC3=C(C2)C(=CC=C3)OCC(=O)[O-])O)O.[Na+]
CCCCCC(CCC1C(CC2C1CC3=C(C2)C(=CC=C3)OCC(=O)O)O)O
CCCCCC(CCC1C(CC2C1CC3=C(C2)C(=CC=C3)OCC(=O)O)O)O.[Na]"
NCT00054262,COC1=C(C=C(C=C1)NS(=O)(=O)C2=C(C(=C(C(=C2F)F)F)F)F)NC(=O)N
NCT00055133,not found
NCT00055523,not found
NCT00051753,not found
NCT00054275,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
NCT00051012,not found
NCT00053105,N.N.Cl[Pt]Cl
NCT00052078,not found
NCT00053872,N.N.Cl[Pt]Cl
NCT00051909,CC(C)S(=O)(=O)NCC(C)C1=CC=C(C=C1)C2=CC=C(C=C2)CCNS(=O)(=O)C
NCT00055042,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C
NCT00058968,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32.Cl
