Name,Smiles
NCT01505413,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC
NCT01507740,not found
NCT01506362,not found
NCT01503918,"Status: 400
Code: PUGREST.BadRequest
Message: Invalid operation"
NCT01502124,not found
NCT01502020,not found
NCT01500720,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC
NCT01503606,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O
NCT01503801,[N]=O
NCT01506336,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5
NCT01506947,CC(C=CC(C)C(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3)O)O)C
NCT01509560,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC
NCT01504776,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO
NCT01506791,not found
NCT01502644,CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)OC)O4)O
NCT01505114,CC1=NN=C(N1C2CC3CCC(C2)N3CCC(C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C
NCT01500161,CS(=O)(=O)OCCCCOS(=O)(=O)C
NCT01504815,not found
NCT01508000,not found
NCT01502072,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N
NCT01501448,not found
NCT01506895,CCN(CC)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)C(F)(F)F)C(=O)CN3C4=C(CCC4)C(=O)N=C3SCC5=CC=C(C=C5)F
NCT01500863,C(CC(C(=O)O)N)CC(=O)NC(CS)C(=O)NCC(=O)O
NCT01506986,not found
NCT01506011,"Status: 400
Code: PUGREST.BadRequest
Message: Invalid operation"
NCT01500993,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
NCT01509079,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
NCT01506271,not found
NCT01505777,not found
NCT01500733,C=CC(=O)N1CCCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N
NCT01505179,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O
NCT01503346,not found
NCT01503788,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F
NCT01501708,not found
NCT01507363,C1CCC(CC1)(CC(=O)O)CN
NCT01502605,C(CC(=O)O)C(=O)CN
NCT01505491,not found
NCT01500317,CCC(C1=CC(=CC=C1)O)C(C)CN(C)C
NCT01509833,not found
NCT01506115,not found
NCT01503749,not found
NCT01505790,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4
NCT01503658,not found
NCT01509508,not found
NCT01507311,CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CC6=CN=CN6)N)C(=O)O
NCT01508286,not found
NCT01507389,CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CC6=CN=CN6)N)C(=O)O
NCT01503866,"CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)C(=O)OC)C
CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)C(=O)OC)C
CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)C(=O)OC)C
CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)C(=O)OC)C
CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)C(=O)OC)C
CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)C(=O)OC)C
CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)C(=O)OC)C"
NCT01508494,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O
NCT01500473,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34
NCT01503021,not found
NCT01502228,not found
NCT01502202,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
NCT01503983,not found
NCT01507220,"CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O
CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O.CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O.OS(=O)(=O)O
CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O.CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O.O.O.O.O.O.OS(=O)(=O)O
CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O.OS(=O)(=O)O"
NCT02383888,CC(C(F)(F)F)OC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)N2CC3CC3(C2)C4=NOC(=C4)C(F)(F)F
NCT02382939,C(CCCCCCCC1=NNN=N1)CCCCCCCC(=O)NS(=O)(=O)CCCC(=O)NCCOCCOCC(=O)NC(CCC(=O)NC(CCC(=O)NCCOCCOCC(=O)NC(CCCCNC(=O)CSCC(C(=O)O)N)C(=O)N)C(=O)O)C(=O)O
NCT02381353,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
NCT02385669,not found
NCT02380131,not found
NCT02382016,CCCNS(=O)(=O)NC1=C(C(=NC=N1)OCCOC2=NC=C(C=N2)Br)C3=CC=C(C=C3)Br
NCT02387567,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
NCT02386033,not found
NCT02382523,not found
NCT02382640,not found
NCT02380001,"CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O.C(C(CO)(CO)N)O
CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O.C(C(CO)(CO)N)O"
NCT02382146,not found
NCT02388178,not found
NCT02387788,COC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC2=CC=C(C=C2)NS(=O)(=O)O)C3=CSC(=N3)C4=CC=CS4
NCT02382328,C1CSSC1CCCCC(=O)O
NCT02389192,not found
NCT02387918,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
NCT02389959,not found
NCT02389517,B1(OC(=O)C(O1)(CC(=O)O)CC(=O)O)C(CC(C)C)NC(=O)CNC(=O)C2=C(C=CC(=C2)Cl)Cl
NCT02387996,not found
NCT02384083,not found
NCT02388750,C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5
NCT02387151,not found
NCT02386267,CC(C)CC(C(=O)O)N
NCT02385136,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N
NCT02383771,CCCSC1=NC(=C2C(=N1)N(N=N2)C3CC(C(C3O)O)OCCO)NC4CC4C5=CC(=C(C=C5)F)F
NCT02389439,not found
NCT02385799,not found
NCT02388191,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+]
NCT02383511,CCS(=O)(=O)C1=CC2=C(C=C1)OC(=N2)C3=CC4=CC=CC=C4C=C3
NCT02388061,not found
NCT02386553,CC1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)OP(=S)(O)OCC3C(C(C(O3)N4C=C(C(=NC4=O)N)C)OCCOC)OP(=S)(O)OCC5C(C(C(O5)N6C=NC7=C(N=CN=C76)N)OCCOC)OP(=S)(O)OCC8C(C(C(O8)N9C=C(C(=NC9=O)N)C)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=NC2=C(N=CN=C21)N)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=NC2=C(N=CN=C21)N)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=NC2=C(N=CN=C21)N)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=NC2=C1N=C(NC2=O)N)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=NC2=C1N=C(NC2=O)N)OCCOC)OP(=S)(O)OCC1C(C(C(O1)N1C=NC2=C1N=C(NC2=O)N)OCCOC)O)OCCOC
NCT02382263,not found
NCT02381288,CC(C)CC(C(=O)NC(CCCNC(=NC)N)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)N)NC(=O)NNC(=O)C(CC3=CC=CC=C3)NC(=O)C(C(C)O)NC(=O)C(CC(=O)N)NC(=O)C4CC(CN4C(=O)C(CC5=CC=C(C=C5)O)NC(=O)C)O
NCT02389400,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
NCT02384915,CCCNC(C)C(=O)NC1=CC=CC=C1C
NCT02388581,not found
NCT02389712,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
NCT02388919,CC1=CC2=C(N1)C=CC(=C2F)OC3=C4C=C(C(=CC4=NC=C3)OCC5(CC5)N)OC
NCT02388594,not found
NCT02384317,CC1=C(C(=CC=C1)F)C(=O)N2CCCC(C2C3=CC=C(C=C3)NC4CCCC4)C(=O)NC5=CC(=C(C=C5)C)C(F)(F)F
NCT02382666,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OCC2(CCC3(CCC(=O)N3)CN2)C4=CC=CC=C4
NCT02383927,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N
NCT02383810,not found
NCT02383121,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O
NCT02384395,not found
NCT02383758,not found
NCT02384382,CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C
NCT02382432,not found
NCT02388295,CC(C)OCCN1C2=C(C(=O)NC1=S)NC=C2
NCT02382575,not found
