Name,Smiles
NCT00251901,"CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC"
NCT00254475,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
NCT00253162,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
NCT00254514,not found
NCT00254085,CCC(C)C1C(=O)NC2CSSCC(C(=O)NC(CSSCC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)NC(CC(=O)N)C(=O)O)C(=O)NCC(=O)NC(CCC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CC5=CC=CC=C5)C(=O)NC(CC6=CC=CC=C6)C(=O)NC(CC7=CC=C(C=C7)O)C(=O)NC(C(C)O)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)O)C(C)C)CC(C)C)CC8=CC=C(C=C8)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC9=CNC=N9)CO)NC(=O)C(CC(C)C)NC(=O)C(CC2=CNC=N2)NC(=O)C(CCC(=O)N)NC(=O)C(CC(=O)N)NC(=O)C(C(C)C)NC(=O)C(CC2=CC=CC=C2)N)C(=O)NC(C(=O)NC(C(=O)N1)CO)C(C)O)NC(=O)C(CCC(=O)N)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)C)NC(=O)C(C(C)CC)NC(=O)CN
NCT00251095,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
NCT00252967,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
NCT00254462,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2
NCT00255229,C(CC(=O)N)C(C(=O)O)N
NCT00254007,not found
NCT00252382,not found
NCT00255762,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2]
NCT00254423,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO
NCT00250393,CCN1C2=C(C(=O)N(C1=O)CC)N(C(=N2)C=CC3=CC(=C(C=C3)OC)OC)C
NCT00254319,not found
NCT00252122,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
NCT00257673,not found
NCT00252291,C(C(C(C(C(CO)O)O)O)O)O
NCT00253175,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C
NCT00258778,not found
NCT00256932,CC1CN(CCC1(C)C2=CC(=CC=C2)O)CC(CC3=CC=CC=C3)C(=O)NCC(=O)O
NCT00256750,not found
NCT00259025,not found
NCT00258557,"Status: 400
Code: PUGREST.BadRequest
Message: Invalid operation"
NCT00258284,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
NCT00259753,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OC3CC(OC3COP(=O)(O)OC4C(OC(C4O)N5C=CC(=NC5=O)N)COP(=O)(O)OC6C(OC(C6O)N7C=NC8=C(N=CN=C87)N)COP(=O)(O)OC9C(OC(C9O)N1C=CC(=NC1=O)N)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C1N=C(NC2=O)N)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C(N=CN=C21)N)COP(=O)(O)OC1C(OC(C1O)N1C=CC(=NC1=O)N)COP(=O)(O)OC1C(OC(C1O)N1C=CC(=NC1=O)N)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C1N=C(NC2=O)N)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C1N=C(NC2=O)N)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C(N=CN=C21)N)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C(N=CN=C21)N)COP(=O)(O)OC1C(OC(C1O)N1C=CC(=NC1=O)N)COP(=O)(O)OC1C(OC(C1O)N1C=CC(=NC1=O)N)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C(N=CN=C21)N)COP(=O)(O)OC1C(OC(C1O)N1C=CC(=NC1=O)N)COP(=O)(O)OC1C(OC(C1O)N1C=CC(=O)NC1=O)COP(=O)(O)OC1C(OC(C1O)N1C=CC(=NC1=O)N)COP(=O)(O)OC1C(OC(C1O)N1C=CC(=NC1=O)N)COP(=O)(O)OC1C(OC(C1O)N1C=NC2=C(N=CN=C21)N)CO)N1C=C(C(=O)NC1=O)C)O
NCT00254722,not found
NCT00256893,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
NCT00252200,not found
NCT00258063,not found
NCT00252317,not found
NCT00256542,not found
NCT00251823,not found
NCT00254254,not found
NCT00256009,CCCCC(C)(CC=CC1C(CC(=O)C1CCCCCCC(=O)OC)O)O
NCT00253591,N.N.Cl[Pt]Cl
NCT00251797,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7
NCT00259857,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
NCT00257920,not found
NCT00256815,not found
NCT00255502,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.CC(C)NCC(COC1=CC=C(C=C1)CCOC)O.C(CC(=O)O)C(=O)O
NCT00251056,C(C(C(C(C(CO)O)O)O)O)O
NCT00251758,not found
NCT00256022,not found
NCT00252733,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6
NCT00256451,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O
NCT00257023,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
NCT00252889,not found
NCT00258375,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=S)([O-])OC3CC(OC3COP(=S)([O-])OC4CC(OC4COP(=S)([O-])OC5CC(OC5COP(=S)([O-])OC6CC(OC6COP(=S)([O-])OC7CC(OC7COP(=S)([O-])OC8CC(OC8COP(=S)([O-])OC9CC(OC9COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1C(OC(C1OCCOC)N1C=C(C(=NC1=O)N)C)COP(=S)([O-])OC1C(OC(C1OCCOC)N1C=NC2=C1N=C(NC2=O)N)COP(=S)([O-])OC1C(OC(C1OCCOC)N1C=NC2=C(N=CN=C21)N)COP(=S)([O-])OC1C(OC(C1OCCOC)N1C=C(C(=NC1=O)N)C)CO)N1C=NC2=C(N=CN=C21)N)N1C=NC2=C1N=C(NC2=O)N)N1C=CC(=NC1=O)N)N1C=NC2=C(N=CN=C21)N)N1C=NC2=C1N=C(NC2=O)N)N1C=NC2=C(N=CN=C21)N)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)N1C=CC(=NC1=O)N)OP(=S)([O-])OCC1C(CC(O1)N1C=C(C(=O)NC1=O)C)OP(=S)([O-])OCC1C(CC(O1)N1C=CC(=NC1=O)N)OP(=S)([O-])OCC1C(CC(O1)N1C=NC2=C(N=CN=C21)N)OP(=S)([O-])OCC1C(C(C(O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)([O-])OCC1C(C(C(O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=S)([O-])OCC1C(C(C(O1)N1C=NC2=C(N=CN=C21)N)OCCOC)OP(=S)([O-])OCC1C(C(C(O1)N1C=C(C(=O)NC1=O)C)OCCOC)O.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]
NCT00256854,not found
NCT00253578,CC1=CC=C(C=C1)S(=O)(=O)O.CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
NCT00259272,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C
NCT00252174,not found
NCT00252005,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N
NCT00259051,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
NCT00252226,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42
NCT00256555,not found
NCT00250874,not found
NCT00252564,not found
NCT00259012,not found
NCT00251537,CCCCCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O
NCT00256997,not found
NCT00257868,not found
NCT00251069,"C(C(C(C(C(C=O)N)O)O)O)O.OS(=O)(=O)O
C(C(C(C(C(C=O)N)O)O)O)O.C(C(C(C(C(C=O)N)O)O)O)O.OS(=O)(=O)O"
NCT00254241,not found
NCT00255918,not found
NCT00257621,CC1=NC(=CS1)COC2=CC=C(C=C2)CC(C(CN(CC(C)C)S(=O)(=O)C3=CC4=C(C=C3)OCO4)O)NC(=O)OC5COC6C5CCO6
NCT00259168,CC(C)C1CCC(CC1)C(=O)NC(CC2=CC=CC=C2)C(=O)O
NCT00256867,not found
NCT00250861,not found
NCT00254449,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
NCT00259129,not found
NCT00259285,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)NC(CCC(=O)O)C(=O)O
