Name,Smiles
NCT02207959,C1=CC(=CC2=[NH+]C3=C(C=CC(=C3)N)C=C21)N.C1=CC(=CC2=[NH+]C3=C(C=CC(=C3)N)C=C21)N.[O-]S(=O)(=O)[O-]
NCT02201914,"CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O"
NCT02203838,not found
NCT02202395,not found
NCT02205112,CC1CC(CN(C1)C2=C(C3=C(C=C2)C(=O)C(=CN3C4CC4)C(=O)O)OC)N
NCT02204813,not found
NCT02202577,not found
NCT02209272,not found
NCT02207998,not found
NCT02208596,CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O
NCT02202408,C1CN(CCC12C3=C(CO2)N(C(=O)N(C3=O)CC(C4=CC=CC=C4)NCCCC(=O)O)CC5=C(C=CC=C5F)C(F)(F)F)CC6=CC=C(O6)C(F)(F)F
NCT02207205,not found
NCT02206802,not found
NCT02206789,not found
NCT02207426,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N
NCT02205515,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC
NCT02201394,not found
NCT02202187,C1CC2=CC(=NC=C2OC1)CNC3CCN(CC3)CC4CN5C(=O)C=CC6=C5N4C(=O)C=N6
NCT02207088,"Status: 400
Code: PUGREST.BadRequest
Message: Invalid operation"
NCT02209454,not found
NCT02207699,not found
NCT02205580,not found
NCT02208882,CC1=C(N=C(S1)N2CCOCC2)COC3=CC(=CC4=C3C=C(O4)C5=CN6C(=N5)SC(=N6)OC)OC
NCT02203032,not found
NCT02206984,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
NCT02202759,not found
NCT02204046,not found
