Name,Smiles
NCT00144365,not found
NCT00143377,not found
NCT00142051,[N]=O
NCT00143806,not found
NCT00145769,not found
NCT00148551,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C
NCT00147784,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N
NCT00147862,C1CC(CCC1CN)C(=O)O
NCT00144807,not found
NCT00142961,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2
NCT00140907,"CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NN=N[N-]4)CO)Cl.[K+]
CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C[O-])Cl.[K+]
CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl.[K]
CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=N[N-]N=N4)CO)Cl.[K+]
CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl
CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C[O-])Cl
CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NN=N[N-]4)CO)Cl
CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NN=N[N-]4)CO)Cl.[K]"
NCT00144352,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl.COC1=C(N=CN=C1OC)NS(=O)(=O)C2=CC=C(C=C2)N
NCT00142181,not found
NCT00142727,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
NCT00142844,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O
NCT00146289,not found
NCT00140049,CC(C)OC(=O)CCCC=CCC1C(CC(C1CCC(CCC2=CC=CC=C2)O)O)O.CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O
NCT00141882,CC12CC3CC(C1)(CC(C3)(C2)N)C
NCT00140582,not found
NCT00148616,CC12CC3CC(C1)(CC(C3)(C2)N)C
NCT00148694,N.N.Cl[Pt]Cl
NCT00143117,CN(C)CC1=C(C=CC(=C1)S(=O)(=O)N)OC2=CC=C(C=C2)SC
NCT00140023,not found
NCT00147602,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
NCT00144690,not found
NCT00143741,not found
NCT00145171,not found
NCT00144378,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7
NCT00146003,not found
NCT00148499,"Status: 400
Code: PUGREST.BadRequest
Message: Output format unspecified or invalid"
NCT00146549,not found
NCT00142090,not found
NCT00144430,C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O
NCT00149916,not found
NCT00147329,not found
